"","School","W","L","RPI","SOS Rank","SOS","url.name","ngames","LRMC.score"
"112","LIU-Brooklyn",3,4,"0.4947","286","0.4545","long-island-university",33,0.00280580643535925
"100","San Francisco",19,15,"0.5031","114","0.5253","san-francisco",29,0.0028042559449106
"491","Murray State",2,1,"0.5283","186","0.4860","murray-state",29,0.00280126074197445
"681","Fresno State",31,18,"0.5191","18","0.5787","fresno-state",28,0.00279858667669519
"461","Florida International",1,13,"0.5288","135","0.5070","florida-international",32,0.0027952159968802
"139","Drexel",19,17,"0.4736","176","0.4886","drexel",31,0.0027809331534113
"581","Princeton",22,2,"0.5223","166","0.4929","princeton",27,0.00277606127861641
"2510","Harvard",1,11,"0.5447","180","0.4878","harvard",27,0.00277382580366051
"151","Buffalo",18,19,"0.4669","147","0.4993","buffalo",32,0.00276181574637551
"97","Arkansas State",1,3,"0.5075","239","0.4690","arkansas-state",30,0.00275682068072162
"611","Tulsa",22,14,"0.5209","123","0.5222","tulsa",32,0.00275223796159747
"81","Boston University",23,3,"0.5117","216","0.4761","boston-university",30,0.00273215070805702
"106","Nevada",17,18,"0.4980","51","0.5572","nevada",30,0.00272889830495684
"91","Cal Poly",22,4,"0.5090","215","0.4769","cal-poly",30,0.00272702868758139
"138","Army",21,14,"0.4754","277","0.4573","army",30,0.00272347624069614
"186","Auburn",31,22,"0.4495","125","0.5215","auburn",32,0.00271972328216665
"116","Texas Southern",23,13,"0.4921","271","0.4581","texas-southern",31,0.00271558236101987
"381","Tennessee State",22,13,"0.5353","121","0.5232","tennessee-state",31,0.00269431369566905
"121","Youngstown State",20,14,"0.4890","182","0.4866","youngstown-state",31,0.00269417042150925
"153","Southern Methodist",20,16,"0.4660","235","0.4708","southern-methodist",31,0.00269377318281859
"156","Loyola-Chicago",20,15,"0.4651","264","0.4605","loyola-il",30,0.00268024975780468
"481","Long Beach State",23,4,"0.5285","139","0.5032","long-beach-state",31,0.00267712915726171
"128","Gardner-Webb",1,3,"0.4843","326","0.4303","gardner-webb",31,0.002674216320382
"710","Montana",6,8,"0.5563","241","0.4685","montana",29,0.00266837413139588
"92","Bryant University",2,2,"0.5086","252","0.4631","bryant",31,0.00265736894382086
"90","Towson",23,4,"0.5098","213","0.4775","towson",30,0.00265672507939519
"161","South Carolina",20,17,"0.4634","164","0.4940","south-carolina",32,0.00265437796411256
"126","Southern Illinois",19,16,"0.4855","148","0.4988","southern-illinois",30,0.00264990283928212
"99","Savannah State",23,13,"0.5034","223","0.4741","savannah-state",32,0.0026408397307471
"147","North Carolina A&T",1,15,"0.4692","323","0.4338","north-carolina-at",34,0.00264022312032863
"1110","Northwestern State",2,10,"0.5545","194","0.4831","northwestern-state",27,0.00263789685657548
